year,month,date,Title,Director,Cast,Production House
2009,NOV,27,Arya 2,Sukumar,"Allu Arjun, Kajal Agarwal, Navdeep",
2010,APR,23,Darling,Karunakaran,"Prabhas, Kajal Aggarwal, Shraddha Das",Produced by Sri Venkateswara Cine Chitra
2010,NOV,26,Orange,Bhaskar,"Ram Charan Teja, Genelia D'Souza, Shazahn Padamsee",Produced By Anjana Productions
2015,MAR,20,Yevade Subramanyam,Nag Ashwin,"Nani, Vijay Deverakonda, Malavika Nair, Ritu Varma",Vyjayanthi Movies
2014,FEB,7,Paisa,Krishna Vamsi,"Nani, Catherine Tresa, Siddhika Sharma, Charanraj, Bharath Reddy, Tabar",Yellow Flowers
2014,FEB,21,Aaha Kalyanam,A. Gokul Krishna,"Nani,Vaani Kapoor",Yash Raj Films
2015,MAR,20,Yevade Subramanyam,Nag Ashwin,"Nani, Vijay Deverakonda, Malavika Nair, Ritu Varma",Vyjayanthi Movies
2002,JUL,18,Allari Ramudu,B. Gopal,"Jr. NTR, Aarti Agarwal, Gajala",
2003,JAN,10,Naaga,D. K. Suresh,"Jr. NTR, Sadha, Jennifer, Raghuvaran, Nassar",Produced by Surya Movies
2004,JUN,9,Samba,V. V. Vinayak,"Jr. NTR, Genelia D'Souza, Bhoomika Chawla, Prakash Raj",Empty cell
